"","State","Date","Region","Active.Cases"
"266","Kedah",2020-09-27,"Kota Setar",1367
"267","Kedah",2020-09-28,"Kubang Pasu",39
"268","Kedah",2020-09-29,"Kulim",6
"269","Kedah",2020-09-30,"Pendang",2
"270","Kedah",2020-10-01,"Baling",30
"271","Kedah",2020-10-02,"Padang Terap",0
"272","Kedah",2020-10-03,"Langkawi",0
"273","Kedah",2020-10-04,"Bandar Baharu",0
"274","Kedah",2020-10-05,"Sik",0
"275","Kedah",2020-10-06,"Yan",1
"276","Kedah",2020-10-07,"Kuala Muda",23
"277","Kedah",2020-10-08,"Kota Setar",1195
"278","Kedah",2020-10-09,"Kubang Pasu",39
"279","Kedah",2020-10-10,"Kulim",6
"280","Kedah",2020-10-11,"Pendang",2
"281","Kedah",2020-10-12,"Baling",32
"282","Kedah",2020-10-13,"Padang Terap",0
"283","Kedah",2020-10-14,"Langkawi",0
"284","Kedah",2020-10-15,"Bandar Baharu",0
"285","Kedah",2020-10-16,"Sik",0
"286","Kedah",2020-10-17,"Yan",1
"287","Kedah",2020-10-18,"Kuala Muda",23
"288","Kedah",2020-10-19,"Kota Setar",1185
"289","Kedah",2020-10-20,"Kubang Pasu",39
"290","Kedah",2020-10-21,"Kulim",4
"291","Kedah",2020-10-22,"Pendang",2
"292","Kedah",2020-10-23,"Baling",32
"293","Kedah",2020-10-24,"Padang Terap",0
"294","Kedah",2020-10-25,"Langkawi",0
"295","Kedah",2020-10-26,"Bandar Baharu",0
"296","Kedah",2020-10-27,"Sik",0
"297","Kedah",2020-10-28,"Yan",1
"298","Kedah",2020-10-29,"Kuala Muda",22
"299","Kedah",2020-10-30,"Kota Setar",967
"300","Kedah",2020-10-31,"Kubang Pasu",39
"301","Kedah",2020-11-01,"Kulim",4
"302","Kedah",2020-11-02,"Pendang",2
"303","Kedah",2020-11-03,"Baling",33
"304","Kedah",2020-11-04,"Padang Terap",0
"305","Kedah",2020-11-05,"Langkawi",0
"306","Kedah",2020-11-06,"Bandar Baharu",1
"307","Kedah",2020-11-07,"Sik",0
"308","Kedah",2020-11-08,"Yan",1
"309","Kedah",2020-11-09,"Kuala Muda",22
"310","Kedah",2020-11-10,"Kota Setar",759
"311","Kedah",2020-11-11,"Kubang Pasu",36
"312","Kedah",2020-11-12,"Kulim",4
"313","Kedah",2020-11-13,"Pendang",2
"314","Kedah",2020-11-14,"Baling",38
"315","Kedah",2020-11-15,"Padang Terap",0
"316","Kedah",2020-11-16,"Langkawi",0
"317","Kedah",2020-11-17,"Bandar Baharu",1
"318","Kedah",2020-11-18,"Sik",0
"319","Kedah",2020-11-19,"Yan",1
"320","Kedah",2020-11-20,"Kuala Muda",21
"321","Kedah",2020-11-21,"Kota Setar",810
"322","Kedah",2020-11-22,"Kubang Pasu",27
"323","Kedah",2020-11-23,"Kulim",2
"324","Kedah",2020-11-24,"Pendang",1
"325","Kedah",2020-11-25,"Baling",33
"326","Kedah",2020-11-26,"Padang Terap",1
"327","Kedah",2020-11-27,"Langkawi",4
"328","Kedah",2020-11-28,"Bandar Baharu",1
"329","Kedah",2020-11-29,"Sik",0
"330","Kedah",2020-11-30,"Yan",0
"331","Kedah",2020-09-26,"Kuala Muda",22
"332","Kedah",2020-09-27,"Kota Setar",419
